#front|back
卻|[què] however, but, yet
代|[dài] (=代表 dàibiǎo) represent, (=时代 shídài) generation, period, epoch, {classifier for periods}>; 现代 xiàndài modern (times); 上代 shàngdài previous generation
軍|[jūn] army, military, troops
產|[chǎn] give birth to, (=产生 chǎnshēng) produce, (=产品 chǎnpǐn) product
入|[rù] (=进入 jìnrù) enter, get into; 收入 shōurù income<br /><br />{Compare with 人 rén person}
先|[xiān] first, before, earlier; 先生 xiānsheng mister, gentleman, Sir; 祖先 zǔxiān = 先辈 xiānbèi ancestor<br /><br />{Compare with 失 shī lose}
山|[shān] hill, mountain, {family name}>; 火山 huǒshān volcano; 山脉 shānmài mountain range
五(A伍)|[wǔ] five; 五月 wǔyuè May
太|[tài] great, very, too; 太太 tàitai Madame; 太阳 tàiyáng sun, sunshine<br /><br />{Compare with 大 dà big}
水|[shuǐ] water, liquid, {family name}>; 水平 shuǐpíng level; 水果 shuǐguǒ fruit; 药水 yàoshuǐ liquid medecine<br /><br />{Compare with 永 yǒng forever}
萬|[wàn] ten thousand, myriad, {family name}>; 万岁 wànsuì long live<br /><br />[Mò] 万俟 Mòqí {family name}><br /><br />{Compare with 方 fāng square}
市|[shì] (=市场 shìchǎng) market, (=城市 chéngshì) city, town
眼|[yǎn] (=眼睛 yǎnjing) eye; 眼镜 yǎnjìng glasses
體|[tǐ] substance, (=身体 shēntǐ) body; 具体 jùtǐ concrete, specific; 体字 tǐzì style of written Chinese, typface, font<br /><br />[tī] 体己 tīji (or tǐjǐ) intimate, confidential
別,彆|[bié] separate, other, don't, leave, differentiate, {family name}><br /><br />[biè] 别扭 bièniu awkward
處|[chù] place, part, point, department, office<br /><br />[chǔ] deal with, get along with somebody<br /><br />{Compare with 外 wài outside}
總|[zǒng] general, overall, always, (=总数 zǒngshù) sum, total; 总统 zǒngtǒng president (of a republic)
纔|[cái] talent, only then; 刚才 gāngcái just now
場|[chǎng] field, place where people gather, stage, level open ground, country fair, market, {classifier for games, performances etc.}><br /><br />[cháng] {classifier for happenings}>
師|[shī] (=老师 lǎoshī) teacher; 师傅 shīfu master
書|[shū] book, style of calligraphy; 书记 shūji clerk; 图书馆 túshūguǎn library
比|[bǐ] compare, contrast; 比较 bǐjiào relatively; 比如 bǐrú efor example
住|[zhù] live (in a place)
員|[yuán] member. ~ist, ~er; 委员会 wěiyuánhuì committee; 人员 rényuán personnel
九(A玖)|[jiǔ] nine; 九月 jiǔyuè September
笑|[xiào] laugh
性|[xìng] sex, gender, nature, disposission, ~ness; 可能性 kěnéngxìng possibility
通|[tōng] communicate, notify, connect, join, know very well, authority, expert, (=通过 tōngguò) go through, {classifier for telegrams}>, {family name}>; 交通 jiāotōng traffic; 普通话 Pǔtōnghù Common Speach = Mandarin<br /><br />[tòng] {classifier for actions}>
